product_id,sku_id,swatch_image_url,image_sha256,image_width,image_height,sample_pixel_count,rgb_r,rgb_g,rgb_b,hex_color,lab_l,lab_a,lab_b,rgb_spread,extraction_method
pimprod2057355,2651970,https://media.ultainc.com/i/ulta/2651970_sw?img404=2651970&w=80&fmt=auto,c7436737444284d9fed117e86b30de644ca18797c826d1c4ac3115f03caf5034,80,80,256,231,202,184,#e7cab8,83.28,7.39,12.73,0.0,center_median_srgb_v1
pimprod2057355,2651971,https://media.ultainc.com/i/ulta/2651971_sw?img404=2651971&w=80&fmt=auto,f0685cafee63ebefa86d49a36b0b4fc7f963d15f5b4648192471edd345f525fb,80,80,256,226,188,175,#e2bcaf,79.17,11.62,11.67,0.0,center_median_srgb_v1
pimprod2057355,2651972,https://media.ultainc.com/i/ulta/2651972_sw?img404=2651972&w=80&fmt=auto,d7ba702117064b1822cb27b7f0e72b708e749527ab0e048c1fb2c79d9ff2cf9f,80,80,256,226,193,176,#e2c1b0,80.43,9.11,12.9,0.0,center_median_srgb_v1
pimprod2057355,2651973,https://media.ultainc.com/i/ulta/2651973_sw?img404=2651973&w=80&fmt=auto,4f4813b2c7127e0bc71d23eb325d3019ee358520df0186d7fea2f9925e81ea9a,80,80,256,227,192,172,#e3c0ac,80.19,9.44,14.72,0.0,center_median_srgb_v1
pimprod2057355,2651974,https://media.ultainc.com/i/ulta/2651974_sw?img404=2651974&w=80&fmt=auto,8817f3193ff7c7ad51f068e224c49b6cbee7b3c84476a51021951b1b9d18a616,80,80,256,227,185,160,#e3b9a0,78.21,11.52,18.39,0.0,center_median_srgb_v1
pimprod2057355,2651975,https://media.ultainc.com/i/ulta/2651975_sw?img404=2651975&w=80&fmt=auto,bb35e8190a1bc0e32826cb7ea63a85234eacd3fc35207c7781aa4a64c63db996,80,80,256,214,175,152,#d6af98,74.33,10.81,17.13,0.0,center_median_srgb_v1
pimprod2057355,2651976,https://media.ultainc.com/i/ulta/2651976_sw?img404=2651976&w=80&fmt=auto,7f259fb2db4b8e28e6b1d46155712a130a72c58081a70bb2f0f568792af15ee8,80,80,256,227,193,158,#e3c19e,80.15,7.03,22.13,0.0,center_median_srgb_v1
pimprod2057355,2651977,https://media.ultainc.com/i/ulta/2651977_sw?img404=2651977&w=80&fmt=auto,9b5755f1d7816d6b138c2001f3905b5438530cc266c752dc491947b3ee9468f7,80,80,256,231,192,161,#e7c0a1,80.33,9.47,20.85,0.0,center_median_srgb_v1
pimprod2057355,2651978,https://media.ultainc.com/i/ulta/2651978_sw?img404=2651978&w=80&fmt=auto,7ace38765b371d054546e13070871741e0692cd90feb67f38c3a5ee25011f4a6,80,80,256,226,183,151,#e2b797,77.44,11.05,22.15,0.0,center_median_srgb_v1
pimprod2057355,2651979,https://media.ultainc.com/i/ulta/2651979_sw?img404=2651979&w=80&fmt=auto,e40a728d86ed058f7fdb406f2b0cc185a318f1de93d22ea50b4064f5e1b7e6d7,80,80,256,242,207,185,#f2cfb9,85.51,8.97,15.48,0.0,center_median_srgb_v1
pimprod2057355,2651980,https://media.ultainc.com/i/ulta/2651980_sw?img404=2651980&w=80&fmt=auto,8accf7bfb26ac7308aa7ecc21303bba5eaac56bf23a2949b2cfcff55cffcf1c5,80,80,256,228,189,166,#e4bda6,79.41,10.58,16.86,0.0,center_median_srgb_v1
pimprod2057355,2651981,https://media.ultainc.com/i/ulta/2651981_sw?img404=2651981&w=80&fmt=auto,c79c46dd3c44f92e3a95eb3dbee8e483e4e6bc30eb91739fc3fa31a5eed301ca,80,80,256,222,181,159,#deb59f,76.73,11.61,16.8,0.0,center_median_srgb_v1
pimprod2057355,2651982,https://media.ultainc.com/i/ulta/2651982_sw?img404=2651982&w=80&fmt=auto,dd34695c6c56395bd42c8cd687ab6994daee071988e41b1a30368e8b66dbdd5e,80,80,256,219,174,155,#dbae9b,74.64,13.67,16.0,0.0,center_median_srgb_v1
pimprod2057355,2651983,https://media.ultainc.com/i/ulta/2651983_sw?img404=2651983&w=80&fmt=auto,7591ef22c0977493dde832b5bd8cb2878cf840c66546739f167f1a3631e59269,80,80,256,232,187,158,#e8bb9e,79.14,12.12,20.82,0.0,center_median_srgb_v1
pimprod2057355,2651984,https://media.ultainc.com/i/ulta/2651984_sw?img404=2651984&w=80&fmt=auto,529e0a4a13bd6bc70e99f0d1d3819572ca5a5c67ae5ce0d9289e3a19c3c87af0,80,80,256,218,173,141,#daad8d,74.01,12.04,22.71,0.0,center_median_srgb_v1
pimprod2057355,2651985,https://media.ultainc.com/i/ulta/2651985_sw?img404=2651985&w=80&fmt=auto,ad06197810595d6707648f995756acee7ebbbc0a5aabc2b02b5eff6140d41550,80,80,256,224,185,160,#e0b9a0,77.93,10.37,17.95,0.0,center_median_srgb_v1
pimprod2057355,2651986,https://media.ultainc.com/i/ulta/2651986_sw?img404=2651986&w=80&fmt=auto,68267540c87a2ead64be9e3c5320c2380161c169594974aaed3ddd1b8b75b596,80,80,256,223,178,147,#dfb293,75.85,12.05,22.06,0.0,center_median_srgb_v1
