product_id,sku_id,variant_type,variant_name,variant_description,variant_url,list_price,sale_price,size_text,availability,swatch_image_url,variant_image_url,ingredient_set_id
pimprod2057355,2651970,color,0N1 Alabaster,lightest with neutral undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651970,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651970_sw?img404=2651970&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651970?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651971,color,1C0 Shell,very light with cool pink undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651971,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651971_sw?img404=2651971&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651971?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651972,color,1C1 Cool Bone,light with cool rosy-peach undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651972,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651972_sw?img404=2651972&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651972?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651973,color,1N0 Porcelain,very light with neutral undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651973,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651973_sw?img404=2651973&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651973?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651974,color,1N1 Ivory Nude,light with neutral peach undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651974,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651974_sw?img404=2651974&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651974?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651975,color,1N2 Ecru,light with neutral rosy undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651975,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651975_sw?img404=2651975&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651975?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651976,color,1W0 Warm Porcelain,very light with warm peach undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651976,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651976_sw?img404=2651976&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651976?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651977,color,1W1 Bone,light with warm undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651977,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651977_sw?img404=2651977&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651977?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651978,color,1W2 Sand,light with warm subtle olive undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651978,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651978_sw?img404=2651978&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651978?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651979,color,2C0 Cool Vanilla,light-medium with cool pink undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651979,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651979_sw?img404=2651979&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651979?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651980,color,2C1 Pure Beige,light-medium with cool pink-peach undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651980,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651980_sw?img404=2651980&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651980?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651981,color,2C3 Fresco,light-medium with cool rosy beige undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651981,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651981_sw?img404=2651981&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651981?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651982,color,2C4 Ivory Rose,light-medium with cool rosy undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651982,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651982_sw?img404=2651982&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651982?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651983,color,2N1 Desert Beige,light-medium with neutral undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651983,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651983_sw?img404=2651983&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651983?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651984,color,2N2 Buff,light-medium with neutral subtle golden undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651984,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651984_sw?img404=2651984&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651984?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651985,color,2W0 Warm Vanilla,light-medium with warm yellow undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651985,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651985_sw?img404=2651985&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651985?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651986,color,2W1 Dawn,light-medium with warm peach undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651986,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651986_sw?img404=2651986&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651986?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651987,color,2W2 Rattan,light-medium with warm olive undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651987,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651987_sw?img404=2651987&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651987?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651988,color,3C1 Dusk,medium with cool rosy-peach undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651988,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651988_sw?img404=2651988&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651988?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651989,color,3C2 Pebble,medium with cool rosy undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651989,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651989_sw?img404=2651989&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651989?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
pimprod2057355,2651990,color,3C3 Sandbar,medium with cool rosy-beige undertones,https://www.ulta.com/p/double-wear-stay-in-place-longwear-matte-foundation-pimprod2057355?sku=2651990,52.0,,1.0 oz,InStock,https://media.ultainc.com/i/ulta/2651990_sw?img404=2651990&w=80&fmt=auto,https://media.ultainc.com/i/ulta/2651990?w=500&h=500,7504fc4671712f74cee9be963f0736dc2a3054032beca7a50cb14b025b307cfc
